b1_52 [ 0.]
b1_152 [ 0.]
b2_0 [ 0.]
b2_1 [ 0.]
b2_2 [ 0.]
b2_3 [ 0.]
b2_4 [ 0.]
b1_52 [ -1.57762522e-09]
b1_152 [ -1.79440837e-09]
b2_0 [  2.50899126e-05]
b2_1 [ -1.51118957e-05]
b2_2 [  5.06713735e-06]
b2_3 [ -7.45228683e-06]
b2_4 [  4.99412027e-06]
b1_52 [  1.80728816e-09]
b1_152 [ -5.60920615e-09]
b2_0 [  1.74177494e-05]
b2_1 [ -1.01660519e-05]
b2_2 [ -1.69598440e-05]
b2_3 [ -4.85256289e-06]
b2_4 [  3.44333506e-05]
b1_52 [  3.25190819e-09]
b1_152 [ -3.09173163e-09]
b2_0 [  2.43285907e-05]
b2_1 [ -2.23652683e-05]
b2_2 [ -2.40311222e-05]
b2_3 [ -7.14812817e-06]
b2_4 [  2.93429822e-05]
b1_52 [  5.81241743e-09]
b1_152 [  6.65994528e-10]
b2_0 [  2.11725513e-05]
b2_1 [ -4.17526784e-05]
b2_2 [ -4.57004572e-05]
b2_3 [ -2.65148621e-05]
b2_4 [  3.66165899e-05]
b1_52 [  5.59387785e-09]
b1_152 [  3.43209630e-09]
b2_0 [  2.00998932e-05]
b2_1 [ -4.36701977e-05]
b2_2 [ -3.51254952e-05]
b2_3 [ -2.83092431e-05]
b2_4 [  3.65898908e-05]
b1_52 [  9.10313441e-09]
b1_152 [ -7.95241275e-09]
b2_0 [  6.31398421e-06]
b2_1 [ -3.31871256e-05]
b2_2 [ -2.47859023e-05]
b2_3 [ -2.25567980e-05]
b2_4 [  3.43001371e-05]
b1_52 [ -2.13438770e-09]
b1_152 [ -1.39855744e-08]
b2_0 [  4.73391875e-06]
b2_1 [ -1.31677533e-05]
b2_2 [ -1.93605630e-05]
b2_3 [ -4.47924921e-06]
b2_4 [  7.15705521e-05]
b1_52 [ -2.75224450e-10]
b1_152 [ -2.53245499e-08]
b2_0 [ -7.26079135e-06]
b2_1 [ -1.33555811e-05]
b2_2 [ -1.88178355e-05]
b2_3 [ -8.60864461e-06]
b2_4 [  8.36193076e-05]
b1_52 [ -4.44613197e-09]
b1_152 [ -7.21712672e-09]
b2_0 [  4.61795680e-06]
b2_1 [ -6.06184733e-06]
b2_2 [ -3.04676519e-05]
b2_3 [ -3.69678038e-05]
b2_4 [  6.90138279e-05]
b1_52 [ -6.76789473e-09]
b1_152 [ -1.57767036e-08]
b2_0 [ -1.00401747e-05]
b2_1 [  2.49213762e-05]
b2_2 [ -3.16270843e-05]
b2_3 [ -4.14167617e-05]
b2_4 [  6.06604042e-05]
b1_52 [  3.42341691e-09]
b1_152 [ -2.16605319e-08]
b2_0 [ -2.85731382e-05]
b2_1 [  2.75523237e-05]
b2_2 [ -4.98410620e-05]
b2_3 [ -1.82780000e-05]
b2_4 [  5.13893219e-05]
b1_52 [  1.28056498e-08]
b1_152 [ -4.88462769e-08]
b2_0 [ -3.63993769e-05]
b2_1 [ -2.74537156e-06]
b2_2 [ -3.87294420e-05]
b2_3 [ -7.84288088e-06]
b2_4 [  3.96559682e-05]
b1_52 [  1.20796380e-08]
b1_152 [ -1.21379011e-07]
b2_0 [ -4.83646085e-05]
b2_1 [  6.18860597e-06]
b2_2 [ -1.35706264e-05]
b2_3 [ -2.16271202e-05]
b2_4 [  4.95235271e-05]
b1_52 [  1.46162450e-08]
b1_152 [ -1.47098481e-07]
b2_0 [ -5.66337834e-05]
b2_1 [ -6.09891243e-08]
b2_2 [ -7.75606991e-06]
b2_3 [ -3.01959343e-05]
b2_4 [  7.16786814e-05]
b1_52 [  2.86714642e-08]
b1_152 [ -1.96569760e-07]
b2_0 [ -8.44358879e-05]
b2_1 [ -3.19029685e-05]
b2_2 [  6.64740510e-06]
b2_3 [ -2.07573970e-05]
b2_4 [  8.22771984e-05]
b1_52 [  4.07125669e-08]
b1_152 [ -3.28322616e-07]
b2_0 [-0.000114]
b2_1 [ -2.92817494e-05]
b2_2 [  2.03966726e-06]
b2_3 [ -9.97750084e-06]
b2_4 [  8.64103860e-05]
b1_52 [  4.91539897e-08]
b1_152 [ -3.71624942e-07]
b2_0 [-0.00012761]
b2_1 [ -5.02168673e-05]
b2_2 [ -3.82844958e-06]
b2_3 [ -1.36196900e-05]
b2_4 [ 0.00011881]
b1_52 [  6.55074954e-08]
b1_152 [ -5.49177766e-07]
b2_0 [-0.00014754]
b2_1 [ -4.36191480e-05]
b2_2 [  8.20545806e-06]
b2_3 [  1.50250110e-05]
b2_4 [ 0.00011864]
b1_52 [  7.42038486e-08]
b1_152 [ -6.38280206e-07]
b2_0 [-0.00017032]
b2_1 [ -5.33906751e-05]
b2_2 [  1.85056585e-05]
b2_3 [ -3.90309358e-07]
b2_4 [ 0.00011334]
b1_52 [  1.02101605e-07]
b1_152 [ -8.64794272e-07]
b2_0 [-0.00019735]
b2_1 [ -6.19102799e-05]
b2_2 [  1.53625535e-05]
b2_3 [  9.02518333e-06]
b2_4 [ 0.00013641]
b1_52 [  1.05771099e-07]
b1_152 [ -8.47382323e-07]
b2_0 [-0.00021148]
b2_1 [ -6.68622879e-05]
b2_2 [  9.23706312e-06]
b2_3 [  1.08762560e-05]
b2_4 [ 0.00014979]
b1_52 [  1.54549436e-07]
b1_152 [ -1.40886794e-06]
b2_0 [-0.00022993]
b2_1 [ -5.09076075e-05]
b2_2 [  5.45295845e-05]
b2_3 [  2.31782079e-05]
b2_4 [ 0.00019259]
b1_52 [  6.99826812e-08]
b1_152 [ -1.08062414e-06]
b2_0 [-0.00018959]
b2_1 [ -2.28162598e-05]
b2_2 [  5.63934166e-05]
b2_3 [ -5.24184574e-07]
b2_4 [ 0.00014786]
b1_52 [  7.58812100e-08]
b1_152 [ -1.12619886e-06]
b2_0 [-0.0002009]
b2_1 [ -3.85852121e-05]
b2_2 [  6.69770764e-05]
b2_3 [ -7.62840061e-06]
b2_4 [ 0.00016679]
b1_52 [  5.47430539e-08]
b1_152 [ -9.50291257e-07]
b2_0 [-0.00016508]
b2_1 [ -3.86963288e-05]
b2_2 [  7.19838476e-05]
b2_3 [ -2.10213186e-05]
b2_4 [ 0.00013347]
b1_52 [  7.82220555e-08]
b1_152 [ -1.22142632e-06]
b2_0 [-0.00018776]
b2_1 [ -4.39503906e-05]
b2_2 [  8.18663835e-05]
b2_3 [ -1.18132130e-05]
b2_4 [ 0.00015811]
b1_52 [  8.76426377e-08]
b1_152 [ -1.21691830e-06]
b2_0 [-0.00019248]
b2_1 [ -4.69169571e-05]
b2_2 [  6.67649645e-05]
b2_3 [  6.29535203e-06]
b2_4 [ 0.00014695]
b1_52 [  1.24506533e-07]
b1_152 [ -1.57964141e-06]
b2_0 [-0.00022131]
b2_1 [ -4.54628896e-05]
b2_2 [  5.12434580e-05]
b2_3 [  2.31966750e-05]
b2_4 [ 0.0001728]
b1_52 [  1.03062952e-07]
b1_152 [ -1.59714059e-06]
b2_0 [-0.00025521]
b2_1 [ -3.95607245e-05]
b2_2 [  3.74642289e-05]
b2_3 [  5.45389815e-06]
b2_4 [ 0.00018947]
b1_52 [  2.17476001e-07]
b1_152 [ -2.40734855e-06]
b2_0 [-0.0002933]
b2_1 [ -3.28558522e-05]
b2_2 [  6.44496960e-05]
b2_3 [  2.72674968e-05]
b2_4 [ 0.00021474]
b1_52 [  7.61297347e-08]
b1_152 [ -1.82388640e-06]
b2_0 [-0.00025206]
b2_1 [ -7.98902792e-06]
b2_2 [  6.44122314e-05]
b2_3 [  2.19225774e-05]
b2_4 [ 0.0001892]
b1_52 [  8.40135903e-08]
b1_152 [ -1.96387953e-06]
b2_0 [-0.00025247]
b2_1 [ -2.17921754e-05]
b2_2 [  5.84172636e-05]
b2_3 [  1.37762589e-05]
b2_4 [ 0.00020926]
b1_52 [  1.04547882e-07]
b1_152 [ -2.15271003e-06]
b2_0 [-0.0002553]
b2_1 [ -2.23887463e-05]
b2_2 [  7.64251340e-05]
b2_3 [  1.28254680e-05]
b2_4 [ 0.00021581]
b1_52 [  1.46344721e-07]
b1_152 [ -2.63160971e-06]
b2_0 [-0.00030284]
b2_1 [ -4.21701618e-05]
b2_2 [  7.61156622e-05]
b2_3 [  4.25407091e-05]
b2_4 [ 0.00024566]
b1_52 [  1.54752689e-07]
b1_152 [ -2.74460238e-06]
b2_0 [-0.00031534]
b2_1 [ -1.26340081e-05]
b2_2 [  8.82016690e-05]
b2_3 [  4.00896931e-05]
b2_4 [ 0.00024133]
b1_52 [  2.02905693e-07]
b1_152 [ -3.33613606e-06]
b2_0 [-0.00038458]
b2_1 [ -2.87968541e-05]
b2_2 [  8.72722694e-05]
b2_3 [  6.07135016e-05]
b2_4 [ 0.00029107]
b1_52 [  1.41995520e-07]
b1_152 [ -2.79536071e-06]
b2_0 [-0.00038406]
b2_1 [  1.16677419e-05]
b2_2 [  3.94503649e-05]
b2_3 [  4.27596131e-05]
b2_4 [ 0.00020278]
b1_52 [  1.98939151e-07]
b1_152 [ -3.38864164e-06]
b2_0 [-0.00038896]
b2_1 [ -2.63695906e-05]
b2_2 [  3.84748858e-05]
b2_3 [  8.71437128e-05]
b2_4 [ 0.00023322]
b1_52 [  1.98405734e-07]
b1_152 [ -3.36115087e-06]
b2_0 [-0.00037528]
b2_1 [ -2.08297599e-05]
b2_2 [  2.35563712e-05]
b2_3 [  9.66833493e-05]
b2_4 [ 0.00025753]
b1_52 [  2.72625570e-07]
b1_152 [ -3.97269214e-06]
b2_0 [-0.00040654]
b2_1 [ -2.64676788e-05]
b2_2 [  3.78119004e-05]
b2_3 [ 0.00010816]
b2_4 [ 0.00028259]
b1_52 [  2.75941926e-07]
b1_152 [ -3.96226571e-06]
b2_0 [-0.00043042]
b2_1 [ -2.99712208e-05]
b2_2 [  3.82901999e-05]
b2_3 [ 0.00010764]
b2_4 [ 0.00030296]
b1_52 [  2.99098890e-07]
b1_152 [ -4.01796160e-06]
b2_0 [-0.00043638]
b2_1 [ -3.44300062e-05]
b2_2 [  6.14209870e-05]
b2_3 [ 0.00011645]
b2_4 [ 0.00029149]
b1_52 [  4.46774615e-07]
b1_152 [ -4.60139608e-06]
b2_0 [-0.00046754]
b2_1 [ -3.34652440e-05]
b2_2 [  8.73063375e-05]
b2_3 [ 0.00015504]
b2_4 [ 0.000303]
b1_52 [  2.39350760e-07]
b1_152 [ -4.07718240e-06]
b2_0 [-0.00042272]
b2_1 [ -2.08002441e-05]
b2_2 [  9.03661224e-05]
b2_3 [ 0.00011936]
b2_4 [ 0.00030275]
b1_52 [  3.07426641e-07]
b1_152 [ -4.59702337e-06]
b2_0 [-0.00042029]
b2_1 [ -2.05924112e-05]
b2_2 [  9.92205290e-05]
b2_3 [ 0.00013264]
b2_4 [ 0.0003531]
b1_52 [  3.46058273e-07]
b1_152 [ -4.79950621e-06]
b2_0 [-0.00046068]
b2_1 [  6.61668101e-07]
b2_2 [  9.55970253e-05]
b2_3 [ 0.00014395]
b2_4 [ 0.00038933]
b1_52 [  4.22421989e-07]
b1_152 [ -5.25025649e-06]
b2_0 [-0.00049824]
b2_1 [ -3.68122409e-05]
b2_2 [ 0.00011318]
b2_3 [ 0.00017032]
b2_4 [ 0.00040062]
